dates,IT_GOVT,LT_GOVT,LT_CORP,US_MBS,RF
1998-05-29,1.1042557758742615,1.2318366313775124,1.2242008262199664,1.1116285203541354,134.19
1998-06-30,1.1111738068248254,1.2555913159740335,1.232205558113109,1.1125386961368893,134.72
1998-07-31,1.1091493493493036,1.2448378669488558,1.2186671704544396,1.113307139563505,135.31
1998-08-31,1.1405038624754302,1.2955941900878225,1.214399294812524,1.1185538544783973,135.9
1998-09-30,1.1830961147926864,1.3369132625476403,1.2528036098331796,1.1267889334538832,136.54
1998-10-30,1.1728279978687453,1.3118040776218378,1.2142991191313313,1.1212118867682999,137.04
1998-11-30,1.1604222243991091,1.3173742137570559,1.254621672997672,1.1229514186791147,137.51
1998-12-31,1.1619274645299533,1.3096382970487255,1.2506380845214684,1.1234719103824953,138.03
1999-01-29,1.1631436548007674,1.316407840767352,1.2622208803897426,1.1271557454314276,138.56
1999-02-26,1.1229680847185186,1.2473051416709504,1.213559106833323,1.1189557580507197,139.02
1999-03-31,1.1247551406256737,1.2395824523262735,1.2125412007446221,1.1221225218228688,139.56
1999-04-30,1.1234355340181585,1.2367214436931269,1.2094452313778083,1.1231158993369053,140.08
1999-05-31,1.101687152223579,1.212491724333227,1.1834780487693952,1.1125126826002552,140.62
1999-06-30,1.0958735483217072,1.195005238060034,1.1632799306552004,1.1043218310688017,141.16
1999-07-30,1.088183075117168,1.184527240975483,1.1472240226076458,1.0924526616404562,141.72
1999-08-31,1.0834433987558474,1.1752124086549665,1.1361033167728987,1.0880977684350739,142.28
1999-09-30,1.0897272964327993,1.1791096589299739,1.1435137297479943,1.1013166459331964,142.86
1999-10-29,1.0853030920933688,1.1750830028975499,1.145933538647864,1.1031855895275209,143.44
1999-11-30,1.0793900872263784,1.1625088146570242,1.13947609093143,1.0994812609247027,144.0
1999-12-31,1.0641176366657206,1.1398072528837722,1.1238507316781108,1.091753417252525,144.66
2000-01-31,1.0535258351595047,1.1511566681216086,1.1169290588383116,1.0776141961879082,145.28
2000-02-29,1.0594355403689806,1.1809095762300226,1.1252008581499873,1.0854339564597897,145.91
2000-03-31,1.0811377756287162,1.2156411737225106,1.1295100991490394,1.0920981785846413,146.61
2000-04-28,1.0697902350627442,1.1997701505649916,1.1061125491373878,1.0873351157120712,147.35
2000-05-31,1.0684896770882226,1.1891548697730734,1.0877464434569797,1.0821540992547973,148.12
2000-06-30,1.0855107871177359,1.2097652640584604,1.1216116923746586,1.1006114900215345,148.76
2000-07-31,1.0887950519477683,1.2249799259659395,1.1378908577196978,1.1025756445840458,149.45
2000-08-31,1.09986637108583,1.2465926238372966,1.1463423809954658,1.1136068255985911,150.22
2000-09-29,1.1014181098884526,1.2248401326048701,1.1339205292278702,1.1192205402171973,151.02
2000-10-31,1.1053397797130533,1.2376776576558253,1.128023233536472,1.1214770924431032,151.8
2000-11-30,1.1251478147661944,1.270220132295889,1.1377305216386413,1.1324366522526506,152.6
2000-12-29,1.1441914160385538,1.2929607019582632,1.150870250217933,1.1442885264875793,153.46
2001-01-31,1.148573550232407,1.2879146350579787,1.1970678170336586,1.1556917326885636,154.32
2001-02-28,1.1591462814039108,1.3050981310233045,1.198639598118705,1.1579659784290275,154.9
2001-03-30,1.161842680007649,1.2926409304908617,1.1938287022917102,1.1594540813177283,155.6
2001-04-30,1.1407681302839214,1.2522404544132903,1.1804531820008037,1.1563686680962613,156.23
2001-05-31,1.1392763116933893,1.2495035151143723,1.1924320605006522,1.1600385210244804,156.77
2001-06-29,1.1408029963239383,1.256501443286383,1.1972174230738435,1.1590424092316878,157.24
2001-07-31,1.168301511395587,1.299451070236972,1.236130066566901,1.1760774748722957,157.72
2001-08-31,1.1786198801278411,1.323185375243161,1.2548518661716557,1.1828050574538598,158.21
2001-09-28,1.2033479478960487,1.328201931268844,1.2169345873309074,1.1961847104069903,158.79
2001-10-31,1.228406449744576,1.390547812724808,1.2704821130306756,1.2100882127866077,159.14
2001-11-30,1.1962913311117178,1.3217402852924072,1.2543951158400324,1.196547124337578,159.45
2001-12-31,1.1796121666650066,1.2947573120167282,1.241689388980016,1.1901633868312613,159.7
2002-01-31,1.1841976177622555,1.3095467456935357,1.2585699816140241,1.1993950283708232,159.94
2002-02-28,1.1955812647292061,1.3231575567814016,1.2647299779920242,1.2115458290110546,160.14
2002-03-29,1.1616403110438553,1.2676810285896973,1.227374373588329,1.1968950453103748,160.38
2002-04-30,1.1906687588793663,1.3139166503046684,1.2397727727830745,1.21776995572828,160.62
2002-05-31,1.2010342382194277,1.316085099635052,1.253599796526227,1.2247881001954475,160.86
2002-06-28,1.2204693597637715,1.3378306318117303,1.2418511930345628,1.2331381790850968,161.09
2002-07-31,1.2545579110043823,1.3771897480750555,1.2191725543102614,1.245490354790923,161.32
2002-08-30,1.279826167316479,1.4353446195416846,1.27664589183598,1.2535081696566408,161.55
2002-09-30,1.3232508750901515,1.4930344271798313,1.299291204790999,1.2605446970605103,161.79
2002-10-31,1.3078795479924255,1.4480231570019986,1.2646837029921874,1.2635741085714431,162.02
2002-11-29,1.2828750871728043,1.4299573789939721,1.303539442339536,1.2608797199765904,162.25
2002-12-31,1.3217751970957012,1.487038303044204,1.356632391864807,1.2727271279224275,162.42
2003-01-31,1.3118071761641399,1.4805437848961236,1.3638501771548077,1.274579064404029,162.58
2003-02-28,1.337361912930589,1.5240856342981486,1.400010519940352,1.2820248699808323,162.72
2003-03-31,1.3311469742941038,1.503332595365245,1.3923542666201107,1.280796202138745,162.89
2003-04-30,1.332382201084306,1.5172060207256746,1.441031807424749,1.284969723494969,163.04
2003-05-30,1.3762614605773107,1.6010283109666774,1.5135326830265117,1.2847694842626374,163.2
2003-06-30,1.3649177650720936,1.5748383971849518,1.493892130829895,1.2854498436785944,163.38
2003-07-31,1.2964399481926223,1.4329324134511514,1.372643725376292,1.260502043345317,163.49
2003-08-29,1.3010758590615938,1.4546404653323468,1.4051225044947522,1.2684693320927922,163.62
2003-09-30,1.3486910184082461,1.5291320211074673,1.4772152626190984,1.2889974812006157,163.76
2003-10-31,1.3230594114157261,1.4854671660969516,1.4526794094713313,1.2835864501934566,163.88
2003-11-28,1.3235319469305298,1.4914746796219,1.4667378632428785,1.2852505426391043,164.01
2003-12-31,1.3348360071296796,1.5084817854049246,1.4881639886584348,1.2984310078466768,164.09
